Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2018-03-20,10051.55,10155.65,10049.1,10124.35,4976.33,4632.17,344.16,3573.71,2842.54,731.17,15.60999966
NIFTY 50,2018-03-19,10215.35,10224.55,10075.3,10094.25,4288.03,3995.8,292.23,3966.58,4158.1,-191.52,15.81999969
NIFTY 50,2018-03-16,10345.15,10346.3,10180.25,10195.15,14024.67,14175.13,-150.46,4485.7,5256.23,-770.53,15.22000027
NIFTY 50,2018-03-15,10405.45,10420.0,10346.2,10360.15,4247.51,4952.91,-705.4,3113.11,2856.66,256.45,14.32999992
NIFTY 50,2018-03-14,10393.05,10420.35,10336.3,10410.9,4093.56,4352.54,-258.98,2673.68,3105.71,-432.03,14.35999966
NIFTY 50,2018-03-13,10389.5,10478.6,10377.85,10426.85,11366.34,4337.92,7028.42,5281.93,3668.54,1613.39,14.46000004
NIFTY 50,2018-03-12,10301.6,10433.65,10295.45,10421.4,5309.09,4934.44,374.65,2917.61,3382.2,-464.59,14.48999977
NIFTY 50,2018-03-09,10271.3,10296.7,10211.9,10226.85,4514.2,3963.84,550.36,2865.87,2930.87,-65.0,14.52999973
NIFTY 50,2018-03-08,10216.25,10270.35,10146.4,10242.65,5253.66,5618.46,-364.8,3950.62,3275.36,675.26,14.59000015
NIFTY 50,2018-03-07,10232.95,10243.35,10141.55,10154.2,4879.62,5599.4,-719.78,3950.27,3540.93,409.34,15.69999981
NIFTY 50,2018-03-06,10420.5,10441.35,10215.9,10249.25,5931.75,5311.67,620.08,3006.68,3741.01,-734.33,16.25
NIFTY 50,2018-03-05,10428.3,10428.7,10323.9,10358.85,6115.0,6481.6,-366.6,3159.68,3313.88,-154.2,15.39999962
NIFTY 50,2018-03-01,10479.95,10525.5,10447.15,10458.35,5514.41,5272.56,241.85,3323.03,3326.32,-3.29,14.06999969
