Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
18-08-2015,3436.01,3691.43,-255.42,1194.33,1066.83,127.5
17-08-2015,3507.74,3365.4,142.34,1471.16,1287.44,183.72
14-08-2015,4442.23,4038.47,403.76,1591.59,1412.39,179.2
13-08-2015,3854.34,4480.24,-625.9,2056.47,1510.61,545.86
12-08-2015,3785.66,5640.68,-1855.02,2660.03,1436.23,1223.8
11-08-2015,3488.91,4225.72,-736.81,1510.87,1380.13,130.74
10-08-2015,3539.95,3554.38,-14.43,1323.23,1373.28,-50.05
07-08-2015,3641.31,3735.05,-93.74,1792.2,1758.12,34.08
06-08-2015,4000.7,3891.77,108.93,1432.06,1543.84,-111.78
04-08-2015,5923.55,5804.85,118.7,1842.72,1955.27,-112.55
03-08-2015,4495.44,4145.03,350.41,1810.17,1843.53,-33.36
30-07-2015,5352.0,5522.68,-170.68,3322.24,2822.59,499.65
29-07-2015,4333.77,4520.01,-186.24,1934.8,1292.11,642.69
27-07-2015,3837.23,4697.17,-859.94,1780.19,1541.53,238.66
24-07-2015,3424.92,3418.3,6.62,2187.64,1991.26,196.38
23-07-2015,3851.6,3666.18,185.42,1507.41,1784.1,-276.69
22-07-2015,4001.56,3551.24,450.32,1617.62,1969.39,-351.77
21-07-2015,4366.82,4593.7,-226.88,2195.41,2049.09,146.32
20-07-2015,3273.24,2558.84,714.4,867.61,1716.37,-848.76
17-07-2015,3347.75,2742.19,605.56,1331.99,1507.14,-175.15
16-07-2015,3250.41,2504.6,745.81,1632.69,1731.2,-98.51
15-07-2015,3292.92,2885.23,407.69,1384.34,1434.72,-50.38
14-07-2015,3148.88,2878.98,269.9,1227.27,1358.17,-130.9
13-07-2015,3477.95,2949.97,527.98,1081.26,1252.81,-171.55
10-07-2015,4991.65,5456.92,-465.27,1785.69,1195.2,590.49
09-07-2015,3685.44,3939.54,-254.1,1271.41,1192.33,79.08
